,title,price,year,link
0,rare georgia tech versus notre dame football program october 29th 1927,1000,1927.0,https://charlottesville.craigslist.org/atq/d/north-garden-rare-georgia-tech-versus/7789030557.html
1,pair antique french empire gilt ormolu bronze dolphin candlesticks,500,,https://charlottesville.craigslist.org/atq/d/north-garden-pair-antique-french-empire/7789031501.html
2,1890 eastlake victorian white marble top vanity,400,,https://charlottesville.craigslist.org/atq/d/north-garden-1890-eastlake-victorian/7782576583.html
3,1959 almost complete set of 9 robert riger shell oil ny giants prints,80,1959.0,https://charlottesville.craigslist.org/atq/d/north-garden-1959-almost-complete-set/7787048906.html
4,mcm tension pole lamp,325,,https://charlottesville.craigslist.org/atq/d/north-garden-mcm-tension-pole-lamp/7787048751.html
5,mid century rare moppet children nativity,260,,https://charlottesville.craigslist.org/atq/d/north-garden-mid-century-rare-moppet/7788489313.html
6,fontanini italian heirloom nativity,175,,https://charlottesville.craigslist.org/atq/d/north-garden-fontanini-italian-heirloom/7788490422.html
7,1960s magnavox record radio console,300,1960.0,https://charlottesville.craigslist.org/atq/d/north-garden-1960s-magnavox-record/7784072531.html
8,antique tiger oak solid wood console desk,550,,https://charlottesville.craigslist.org/atq/d/north-garden-antique-tiger-oak-solid/7782578239.html
9,antique crazy quilt,150,,https://charlottesville.craigslist.org/atq/d/north-garden-antique-crazy-quilt/7787845970.html
10,yacht mary model in case,1100,,https://charlottesville.craigslist.org/atq/d/north-garden-yacht-mary-model-in-case/7786982783.html
11,rare georgia tech versus notre dame football program october 29th 1927,1000,1927.0,https://charlottesville.craigslist.org/atq/d/north-garden-rare-georgia-tech-versus/7786981533.html
12,pair vintage cabinet knobs,8,,https://charlottesville.craigslist.org/atq/d/troy-pair-vintage-cabinet-knobs/7782860806.html
13,looking for wildwood lamp catalog,80,,https://charlottesville.craigslist.org/atq/d/charlottesville-looking-for-wildwood/7787870156.html
14,vintage schwinn childs bike,75,,https://charlottesville.craigslist.org/atq/d/dyke-vintage-schwinn-childs-bike/7782884888.html
15,oak vintage wrought iron ice cream parlor set,150,,https://charlottesville.craigslist.org/atq/d/dyke-oak-vintage-wrought-iron-ice-cream/7782806148.html
16,antique / vintage wooden ironing board,25,,https://charlottesville.craigslist.org/atq/d/dyke-antique-vintage-wooden-ironing/7782800297.html
17,rare antique: egyptian throne replica,12000,,https://charlottesville.craigslist.org/atq/d/culpeper-rare-antique-egyptian-throne/7785655110.html
18,rare find antique: victorian cathedral style birdhouse castle,3500,,https://charlottesville.craigslist.org/atq/d/culpeper-rare-find-antique-victorian/7784772696.html
19,antique childs drof leaf table and chairs,50,,https://charlottesville.craigslist.org/atq/d/crozet-antique-childs-drof-leaf-table/7789483352.html
20,bookends wine rack,20,,https://charlottesville.craigslist.org/atq/d/charlottesville-bookends-wine-rack/7784659904.html
21,antique bronze vintage wine rack,40,,https://charlottesville.craigslist.org/atq/d/charlottesville-antique-bronze-vintage/7784658823.html
22,vintage baby chair!,10,,https://charlottesville.craigslist.org/atq/d/bremo-bluff-vintage-baby-chair/7786791468.html
23,lenox ming dessert plates/bowls,10,,https://charlottesville.craigslist.org/atq/d/palmyra-lenox-ming-dessert-plates-bowls/7789315367.html
24,antique toyo blue and white bowl,15,,https://charlottesville.craigslist.org/atq/d/palmyra-antique-toyo-blue-and-white-bowl/7789296805.html
25,bombay and other blue and white china,60,,https://charlottesville.craigslist.org/atq/d/palmyra-bombay-and-other-blue-and-white/7789296531.html
26,china cabinet,1000,,https://charlottesville.craigslist.org/atq/d/schuyler-china-cabinet/7789276630.html
27,wwi m1917 gas mask & carry bag,150,1917.0,https://charlottesville.craigslist.org/atq/d/somerset-wwi-m1917-gas-mask-carry-bag/7786435324.html
28,"fine ceramics, $30 for both, read ad, thx",30,,https://charlottesville.craigslist.org/atq/d/crozet-fine-ceramics-30-for-both-read/7783477455.html
29,"reduced-mcm murano glass vase, perfect condition, 18""tall",50,,https://charlottesville.craigslist.org/atq/d/crozet-reduced-mcm-murano-glass-vase/7785799753.html
30,"antique hubley bronze lamp, 33"", heavy, original patina",250,,https://charlottesville.craigslist.org/atq/d/crozet-antique-hubley-bronze-lamp-33/7783459065.html
31,"antique brass lamp, 26"", vgc, works",30,,https://charlottesville.craigslist.org/atq/d/crozet-antique-brass-lamp-26-vgc-works/7783455725.html
32,1917 conch shell,25,1917.0,https://charlottesville.craigslist.org/atq/d/north-garden-1917-conch-shell/7785992447.html
33,rare antique 1920 american modern conant ball russell wright chair shi,500,1920.0,https://charlottesville.craigslist.org/atq/d/north-garden-rare-antique-1920-american/7784070111.html
34,civil war ammo crate,400,,https://charlottesville.craigslist.org/atq/d/north-garden-civil-war-ammo-crate/7784676618.html
35,turner wall mirror shadow box frame shelf gold cream retro 1960s,75,1960.0,https://charlottesville.craigslist.org/atq/d/north-garden-turner-wall-mirror-shadow/7788534905.html
36,vintage platinum wheat japan fine china,50,,https://charlottesville.craigslist.org/atq/d/troy-vintage-platinum-wheat-japan-fine/7787233292.html
37,2 vintage buggy wrenches,15,,https://charlottesville.craigslist.org/atq/d/troy-vintage-buggy-wrenches/7788064504.html
38,fully restored griswold #14 lbl epu cast iron skillet - minor wobble,400,,https://charlottesville.craigslist.org/atq/d/charlottesville-fully-restored-griswold/7789184362.html
